Sucursal 1,Sucursal 2,Sucursal 3,Sucursal 4,Sucursal 5,Sucursal 6,Sucursal 7,Sucursal 8,Sucursal 9,Sucursal 10,Sucursal 11,Sucursal 12,Sucursal 13,Sucursal 14,Sucursal 15,Sucursal 16,Sucursal 17,Sucursal 18,Sucursal 19,Sucursal 20,Sucursal 21,Sucursal 22,Sucursal 23,Sucursal 24,Sucursal 25,Sucursal 26,Sucursal 27,Sucursal 28,Sucursal 29,Sucursal 30,Sucursal 31,Sucursal 32,Sucursal 33,Sucursal 34,Sucursal 35,Sucursal 36,Sucursal 37,Sucursal 38,Sucursal 39,Sucursal 40,Sucursal 41,Sucursal 42,Sucursal 43,Sucursal 44,Sucursal 45,Sucursal 46,Sucursal 47,Sucursal 48,Sucursal 49
24,15,3,22,7,16,14,15,10,34,8,15,17,29,24,34,12,11,1,0,30,9,0,19,1,36,5,26,22,13,9,7,19,34,16,24,8,3,1,14,16,4,1,16,27,27,0,17,10
8,5,5,8,0,13,5,5,9,33,4,7,6,7,7,27,14,16,4,2,2,26,1,8,2,1,1,23,45,29,17,0,19,40,14,40,8,6,1,4,1,4,5,29,14,9,5,11,16
10,4,17,11,15,13,8,20,16,26,1,12,24,20,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8,13,42,19,23,2,18,8,14,5,26,28,27,17,5,0,9,12,5,29,26,8,11,13,40,3,21,36,22,17,2,21,46,24,35,18,3,4,6,7,4,3,31,22,16,5,22,7
13,4,6,14,8,10,1,18,14,13,6,17,9,12,11,57,1,8,9,2,11,29,3,12,19,16,0,22,15,28,9,1,23,18,14,36,15,7,5,8,4,5,9,5,5,26,1,28,25
19,1,31,36,11,17,19,21,21,6,5,23,15,25,13,21,7,8,9,3,6,24,5,17,9,9,14,10,15,25,19,3,15,14,21,27,12,6,4,10,7,7,4,11,31,26,1,16,5
47,22,30,19,33,31,25,36,38,13,26,49,37,30,43,44,0,8,5,0,1,8,3,14,18,23,6,15,22,15,14,3,13,21,13,17,7,2,8,4,3,6,4,2,5,32,3,13,14
13,11,63,18,16,20,7,15,18,14,27,5,34,11,27,45,10,16,9,16,38,7,10,8,15,23,12,38,33,36,27,5,23,11,11,34,17,8,5,6,4,10,10,12,27,63,3,13,14
18,19,21,47,16,16,14,17,18,10,33,24,18,19,17,32,1,22,1,7,7,9,8,9,4,37,6,24,26,14,13,21,35,18,11,40,13,5,8,10,0,5,10,9,27,21,2,15,5
10,6,24,21,15,34,12,10,4,20,21,28,5,24,24,29,1,9,5,6,12,9,4,4,6,15,2,24,9,9,3,2,23,22,3,32,7,5,3,3,3,5,11,2,10,4,1,9,10
11,20,12,17,8,10,5,20,4,13,12,15,8,15,10,22,0,6,7,5,18,23,7,108,6,3,7,34,15,22,17,4,17,21,33,23,9,11,4,15,3,8,0,7,16,55,4,9,0
17,8,23,19,18,4,14,18,44,20,26,9,26,17,21,28,2,3,4,3,9,3,7,17,18,42,11,26,14,17,31,0,23,25,20,45,13,10,5,10,1,5,6,0,2,10,1,11,14
18,15,0,4,8,5,8,6,12,9,16,31,11,9,18,31,27,20,9,32,2,27,6,5,20,9,11,21,21,16,9,1,11,9,14,15,13,8,7,4,6,6,11,7,3,45,1,17,2
11,22,6,24,20,33,17,11,27,8,15,29,44,28,18,31,0,5,8,15,5,15,10,4,0,21,9,12,18,7,14,1,17,14,7,10,12,10,4,9,0,5,0,8,10,18,4,11,101
12,21,23,41,21,16,16,7,11,13,11,10,5,21,22,31,11,4,3,10,5,16,2,9,0,5,0,16,20,20,12,3,12,7,0,9,9,6,7,5,8,1,0,17,11,13,3,8,4
21,20,28,16,17,13,1,4,5,17,8,12,17,4,30,18,0,2,8,10,9,20,2,8,7,14,6,15,27,21,9,0,3,16,12,19,11,9,7,5,10,3,4,8,46,16,0,8,5
21,13,17,28,18,16,10,9,18,30,26,11,25,11,25,32,1,6,4,8,23,21,2,1,10,52,0,19,30,14,13,1,70,17,6,51,6,4,5,1,2,5,1,59,18,17,1,14,1
15,13,22,13,37,43,13,18,29,24,8,14,36,25,20,13,0,8,7,9,38,36,9,18,38,16,3,14,32,38,12,1,5,2,17,33,10,8,8,10,4,4,8,36,4,12,6,10,15
17,16,16,10,9,14,9,6,10,20,21,11,32,19,28,16,0,0,1,14,10,1,0,7,5,0,3,16,23,7,6,3,18,17,11,43,5,4,1,3,1,2,1,3,8,24,1,4,0
29,34,13,24,8,17,9,19,28,43,26,30,35,20,49,15,17,5,5,20,13,20,3,13,23,10,5,16,11,34,20,3,34,8,23,12,9,4,1,4,3,1,4,27,30,19,2,19,14
46,8,13,15,3,25,6,3,15,11,42,14,18,15,15,30,11,3,3,3,4,1,0,14,8,1,0,1,5,5,3,1,11,4,2,2,4,1,2,3,1,3,1,1,23,11,1,2,0
8,7,12,10,3,10,1,1,11,4,18,30,50,4,6,7,1,3,14,13,50,1,4,10,10,22,9,25,16,29,10,0,18,13,15,16,10,6,2,7,3,27,2,14,49,10,1,6,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,4,21,17,5,10,8,5,8,13,35,12,16,2,29,13,12,31,20,9,3,7,5,2,1,3,23,10,3,6,22
10,4,2,21,13,25,3,7,17,7,12,17,10,15,9,23,0,16,8,22,27,12,4,15,11,18,2,25,17,9,13,2,13,17,1,2,16,11,11,7,4,3,3,0,22,6,0,6,10
10,9,6,15,4,10,15,21,17,0,8,24,21,21,9,3,1,23,3,18,28,5,1,3,3,23,1,1,18,10,12,4,4,4,8,26,15,10,2,10,3,3,0,2,0,10,0,2,2
15,27,1,14,10,12,7,14,6,4,7,21,8,13,7,13,16,3,14,6,44,31,3,19,8,5,1,8,10,14,15,1,14,20,6,33,12,7,11,5,4,5,1,5,11,11,1,16,31
5,12,0,7,9,7,4,4,13,9,20,20,4,10,2,10,34,50,5,9,17,29,10,4,14,13,10,18,12,7,23,3,9,11,2,21,7,9,3,5,2,1,2,0,37,8,0,8,4
17,11,13,3,16,16,1,8,14,16,12,20,29,4,7,11,16,15,17,19,5,14,13,7,14,13,0,14,23,7,17,1,6,9,6,16,5,16,4,2,5,8,2,5,14,31,1,7,3
14,8,10,12,5,12,14,11,12,9,10,7,12,12,8,11,1,13,8,26,19,3,6,12,7,11,1,7,10,8,12,2,10,9,2,19,9,14,6,5,2,10,2,1,8,6,0,7,5
18,12,25,14,9,18,9,20,12,12,16,13,10,13,11,23,13,8,11,6,22,7,5,8,9,14,5,21,17,5,8,5,9,16,9,11,12,9,7,5,6,6,1,1,10,8,0,7,19
30,10,14,14,9,11,5,10,14,11,10,26,20,16,6,23,33,20,7,0,10,9,2,6,0,0,0,12,10,3,1,1,6,9,0,15,6,3,2,6,1,4,1,0,6,2,1,2,7
14,10,10,0,1,1,7,6,3,10,6,18,7,8,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,9,22,16,16,8,11,1,10,1,13,8,8,8,2,16,11,17,12,11,4,17,3,2,7,4,4,13,9,0,4,9
6,24,4,12,18,23,20,16,11,18,7,21,20,4,13,5,27,18,7,21,28,4,6,10,10,14,1,8,9,21,12,0,10,30,3,43,4,6,4,9,6,11,12,3,32,16,1,2,8
18,17,3,11,23,16,12,11,20,16,15,37,12,8,15,14,0,7,9,12,22,47,6,2,7,6,1,8,14,23,7,0,13,17,7,9,11,6,6,4,6,2,0,5,3,11,2,2,16
9,12,3,10,10,18,7,14,19,15,10,13,11,6,7,19,0,14,2,7,22,8,0,0,7,4,0,6,18,6,4,0,5,14,2,11,2,4,6,1,2,7,0,0,7,15,1,2,2
4,17,3,4,4,11,1,6,6,1,8,14,30,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,16,22,3,17,5,13,31,13,3,14,21,7,14,15,2,2,9,2,9,10,6,9,0,1,0,5,3,3,9,1,4,0,2,1,13,3,4,2,3,6,2,4,3,2,0,2,10
11,7,30,15,17,25,12,8,21,13,15,11,10,12,2,11,0,1,7,10,15,36,5,2,0,3,0,6,33,11,14,28,6,9,6,5,1,18,5,3,1,3,0,0,8,6,0,0,8
27,14,10,10,10,15,9,12,4,9,14,12,6,15,24,22,0,6,4,4,24,2,4,2,3,1,0,5,5,11,15,0,5,18,5,8,11,3,0,7,5,7,6,4,5,11,0,4,7
17,4,1,12,3,11,4,5,21,7,5,19,9,12,2,15,1,12,0,3,42,7,1,6,13,2,3,24,26,13,3,16,8,10,1,9,8,5,10,6,2,7,5,3,8,7,0,6,11
20,5,19,11,1,25,2,3,14,17,15,13,2,17,17,3,0,2,6,0,19,21,4,11,2,12,4,17,8,5,13,2,5,4,3,7,7,1,3,7,1,6,0,6,1,5,1,2,0
